Sub-network,Date,MACS,SST-2 Acc
"{'num_layers': [11], 'num_attention_heads': [10, 6, 8, 10, 12, 8, 10, 12, 8, 8, 8, 10], 'intermediate_size': [1024, 3072, 3072, 1024, 1024, 2048, 2048, 1024, 3072, 2048, 1024, 1024]}",51:48.1,6755681920,0.905963303
"{'num_layers': [8], 'num_attention_heads': [10, 6, 8, 10, 6, 12, 6, 6, 12, 12, 12, 6], 'intermediate_size': [3072, 1024, 3072, 2048, 3072, 3072, 2048, 1024, 2048, 2048, 3072, 3072]}",51:59.4,5370971776,0.908256881
"{'num_layers': [9], 'num_attention_heads': [8, 8, 8, 8, 10, 6, 8, 12, 12, 12, 6, 10], 'intermediate_size': [3072, 3072, 1024, 1024, 3072, 1024, 3072, 2048, 1024, 3072, 2048, 2048]}",52:08.4,5807376000,0.905963303
"{'num_layers': [12], 'num_attention_heads': [12, 6, 10, 8, 8, 10, 10, 8, 6, 10, 12, 8], 'intermediate_size': [2048, 3072, 3072, 1024, 3072, 1024, 1024, 3072, 3072, 3072, 1024, 1024]}",52:11.3,7980615296,0.905963303
"{'num_layers': [12], 'num_attention_heads': [10, 12, 6, 8, 12, 12, 12, 6, 8, 8, 6, 12], 'intermediate_size': [3072, 3072, 3072, 3072, 3072, 2048, 1024, 1024, 2048, 1024, 1024, 1024]}",52:13.9,7888340608,0.910550459
"{'num_layers': [10], 'num_attention_heads': [12, 12, 10, 8, 8, 6, 12, 6, 6, 10, 6, 10], 'intermediate_size': [2048, 2048, 2048, 3072, 2048, 3072, 3072, 1024, 3072, 2048, 1024, 1024]}",52:16.1,7086835328,0.913990826
"{'num_layers': [10], 'num_attention_heads': [8, 8, 8, 6, 12, 12, 6, 6, 8, 12, 12, 6], 'intermediate_size': [2048, 2048, 3072, 3072, 3072, 2048, 2048, 1024, 2048, 1024, 1024, 3072]}",52:18.3,6575130240,0.908256881
"{'num_layers': [11], 'num_attention_heads': [6, 6, 10, 8, 8, 8, 8, 10, 6, 6, 6, 8], 'intermediate_size': [2048, 3072, 3072, 3072, 2048, 3072, 2048, 3072, 2048, 3072, 3072, 3072]}",52:20.8,8076887680,0.913990826
"{'num_layers': [7], 'num_attention_heads': [10, 6, 6, 6, 12, 8, 8, 8, 10, 8, 8, 10], 'intermediate_size': [1024, 1024, 3072, 2048, 2048, 1024, 1024, 1024, 1024, 1024, 3072, 1024]}",52:22.2,3743385216,0.891055046
"{'num_layers': [10], 'num_attention_heads': [10, 10, 10, 6, 10, 6, 12, 6, 10, 10, 12, 12], 'intermediate_size': [2048, 1024, 1024, 1024, 1024, 1024, 3072, 2048, 2048, 2048, 2048, 3072]}",52:24.4,5677549184,0.89793578
"{'num_layers': [8], 'num_attention_heads': [6, 12, 6, 6, 12, 6, 10, 6, 6, 6, 10, 6], 'intermediate_size': [2048, 2048, 1024, 2048, 3072, 1024, 3072, 1024, 3072, 1024, 3072, 3072]}",52:26.1,4766992000,0.902522936
"{'num_layers': [11], 'num_attention_heads': [6, 8, 12, 8, 10, 10, 6, 6, 6, 8, 10, 12], 'intermediate_size': [2048, 2048, 1024, 1024, 3072, 2048, 1024, 1024, 1024, 3072, 3072, 3072]}",52:28.4,6483052160,0.901376147
"{'num_layers': [7], 'num_attention_heads': [8, 8, 8, 10, 6, 8, 10, 12, 10, 12, 12, 6], 'intermediate_size': [2048, 3072, 1024, 2048, 3072, 1024, 2048, 1024, 3072, 3072, 3072, 3072]}",52:30.0,4401890944,0.887614679
"{'num_layers': [11], 'num_attention_heads': [8, 6, 8, 10, 8, 6, 6, 6, 8, 6, 12, 12], 'intermediate_size': [3072, 2048, 1024, 1024, 2048, 1024, 2048, 2048, 2048, 1024, 2048, 2048]}",52:32.1,6118147712,0.908256881
"{'num_layers': [9], 'num_attention_heads': [6, 8, 8, 8, 12, 12, 10, 8, 12, 12, 6, 6], 'intermediate_size': [1024, 2048, 1024, 3072, 3072, 3072, 3072, 1024, 2048, 3072, 2048, 1024]}",52:34.2,6117754496,0.913990826
"{'num_layers': [6], 'num_attention_heads': [12, 6, 8, 6, 6, 8, 6, 8, 12, 6, 10, 8], 'intermediate_size': [2048, 3072, 3072, 3072, 2048, 2048, 1024, 3072, 1024, 2048, 1024, 2048]}",52:35.6,4275865216,0.879587156
"{'num_layers': [11], 'num_attention_heads': [6, 8, 12, 10, 12, 10, 10, 6, 6, 12, 12, 8], 'intermediate_size': [2048, 1024, 1024, 3072, 1024, 1024, 1024, 3072, 1024, 1024, 3072, 1024]}",52:37.9,6462080640,0.903669725
"{'num_layers': [7], 'num_attention_heads': [6, 10, 8, 6, 12, 8, 8, 12, 6, 12, 10, 8], 'intermediate_size': [1024, 2048, 2048, 1024, 2048, 2048, 2048, 2048, 3072, 1024, 3072, 3072]}",52:39.5,3999237760,0.892201835
"{'num_layers': [7], 'num_attention_heads': [8, 10, 6, 6, 8, 6, 6, 10, 8, 12, 10, 6], 'intermediate_size': [1024, 1024, 2048, 2048, 2048, 3072, 3072, 2048, 1024, 2048, 1024, 1024]}",52:41.1,4183787136,0.885321101
"{'num_layers': [11], 'num_attention_heads': [12, 8, 10, 6, 8, 12, 6, 8, 6, 12, 12, 12], 'intermediate_size': [3072, 3072, 2048, 1024, 1024, 1024, 3072, 1024, 2048, 2048, 3072, 3072]}",52:43.4,7158335104,0.90940367
"{'num_layers': [12], 'num_attention_heads': [6, 12, 8, 6, 12, 10, 6, 6, 10, 8, 8, 6], 'intermediate_size': [1024, 1024, 1024, 1024, 1024, 3072, 1024, 2048, 2048, 2048, 3072, 3072]}",52:45.8,6902679168,0.902522936
"{'num_layers': [8], 'num_attention_heads': [8, 12, 8, 8, 6, 8, 6, 10, 12, 12, 10, 6], 'intermediate_size': [2048, 2048, 2048, 1024, 1024, 3072, 2048, 1024, 1024, 3072, 3072, 2048]}",52:47.5,4620191360,0.893348624
"{'num_layers': [10], 'num_attention_heads': [8, 8, 10, 12, 8, 8, 10, 6, 8, 10, 10, 10], 'intermediate_size': [1024, 3072, 3072, 1024, 2048, 2048, 1024, 3072, 1024, 1024, 3072, 3072]}",52:49.6,6025676416,0.90940367
"{'num_layers': [11], 'num_attention_heads': [12, 10, 8, 12, 6, 12, 10, 8, 12, 6, 12, 6], 'intermediate_size': [3072, 3072, 1024, 3072, 3072, 1024, 2048, 2048, 1024, 3072, 2048, 1024]}",52:52.0,7779092096,0.912844037
"{'num_layers': [10], 'num_attention_heads': [10, 10, 10, 8, 12, 10, 10, 10, 8, 8, 10, 6], 'intermediate_size': [1024, 2048, 2048, 1024, 2048, 2048, 1024, 3072, 3072, 3072, 2048, 3072]}",52:54.1,6646433408,0.902522936
"{'num_layers': [10], 'num_attention_heads': [10, 8, 10, 10, 12, 6, 8, 10, 6, 10, 8, 12], 'intermediate_size': [1024, 3072, 3072, 3072, 2048, 2048, 1024, 2048, 1024, 1024, 1024, 3072]}",52:56.4,6281528960,0.901376147
"{'num_layers': [8], 'num_attention_heads': [10, 8, 6, 8, 10, 6, 10, 6, 10, 12, 12, 6], 'intermediate_size': [3072, 3072, 1024, 1024, 3072, 1024, 3072, 1024, 3072, 3072, 1024, 3072]}",52:58.1,4968318592,0.901376147
"{'num_layers': [11], 'num_attention_heads': [6, 12, 10, 6, 8, 6, 8, 6, 6, 10, 10, 8], 'intermediate_size': [3072, 1024, 2048, 3072, 3072, 3072, 2048, 1024, 1024, 1024, 1024, 1024]}",53:00.3,6629852800,0.923165138
"{'num_layers': [12], 'num_attention_heads': [6, 12, 12, 6, 6, 12, 10, 12, 8, 8, 6, 10], 'intermediate_size': [2048, 1024, 2048, 2048, 3072, 2048, 2048, 3072, 3072, 2048, 3072, 1024]}",53:02.9,8181941888,0.903669725
"{'num_layers': [6], 'num_attention_heads': [6, 8, 10, 6, 8, 10, 12, 10, 10, 8, 6, 10], 'intermediate_size': [1024, 2048, 1024, 2048, 3072, 1024, 3072, 2048, 2048, 2048, 1024, 1024]}",53:04.2,3323758208,0.881880734
"{'num_layers': [12], 'num_attention_heads': [10, 12, 8, 6, 8, 12, 10, 10, 6, 10, 12, 8], 'intermediate_size': [2048, 2048, 3072, 3072, 2048, 3072, 2048, 2048, 1024, 2048, 3072, 2048]}",53:06.8,8492320384,0.916284404
"{'num_layers': [7], 'num_attention_heads': [10, 6, 12, 12, 12, 12, 12, 12, 10, 10, 10, 6], 'intermediate_size': [1024, 3072, 3072, 2048, 1024, 1024, 2048, 3072, 3072, 3072, 2048, 1024]}",53:08.5,4691297920,0.901376147
"{'num_layers': [10], 'num_attention_heads': [12, 8, 8, 8, 6, 6, 12, 10, 10, 10, 10, 8], 'intermediate_size': [1024, 1024, 3072, 2048, 3072, 3072, 2048, 3072, 3072, 3072, 1024, 3072]}",53:10.7,7288161920,0.904816514
"{'num_layers': [6], 'num_attention_heads': [12, 12, 12, 8, 12, 6, 6, 10, 12, 10, 6, 6], 'intermediate_size': [2048, 1024, 1024, 2048, 2048, 2048, 2048, 1024, 3072, 1024, 3072, 3072]}",53:12.2,3705439872,0.887614679
"{'num_layers': [11], 'num_attention_heads': [6, 8, 10, 6, 6, 12, 10, 8, 6, 8, 12, 12], 'intermediate_size': [2048, 1024, 1024, 2048, 2048, 2048, 3072, 1024, 3072, 3072, 2048, 1024]}",53:14.6,6940231296,0.911697248
"{'num_layers': [12], 'num_attention_heads': [10, 8, 12, 6, 10, 10, 10, 12, 10, 12, 12, 10], 'intermediate_size': [1024, 2048, 1024, 1024, 2048, 2048, 3072, 3072, 2048, 1024, 3072, 3072]}",53:17.2,8160970368,0.902522936
"{'num_layers': [12], 'num_attention_heads': [10, 12, 10, 10, 12, 12, 12, 8, 6, 6, 12, 6], 'intermediate_size': [3072, 2048, 3072, 1024, 3072, 3072, 1024, 3072, 1024, 3072, 1024, 1024]}",53:19.8,8198719104,0.912844037
"{'num_layers': [6], 'num_attention_heads': [12, 6, 6, 8, 10, 8, 8, 6, 10, 12, 10, 6], 'intermediate_size': [2048, 1024, 2048, 3072, 1024, 2048, 2048, 3072, 1024, 1024, 2048, 2048]}",53:21.2,3579610752,0.885321101
"{'num_layers': [10], 'num_attention_heads': [10, 10, 12, 10, 12, 8, 12, 12, 12, 10, 6, 6], 'intermediate_size': [1024, 1024, 3072, 1024, 2048, 2048, 3072, 3072, 3072, 3072, 2048, 1024]}",53:23.5,7376242304,0.919724771
"{'num_layers': [6], 'num_attention_heads': [8, 12, 8, 12, 6, 10, 8, 10, 10, 6, 8, 10], 'intermediate_size': [3072, 3072, 1024, 3072, 3072, 3072, 1024, 3072, 2048, 3072, 2048, 3072]}",53:25.1,4749821568,0.891055046
"{'num_layers': [10], 'num_attention_heads': [6, 10, 10, 12, 8, 12, 12, 6, 12, 10, 10, 8], 'intermediate_size': [3072, 3072, 3072, 2048, 3072, 3072, 2048, 1024, 2048, 1024, 2048, 3072]}",54:03.4,7304939136,0.925458716
"{'num_layers': [6], 'num_attention_heads': [6, 6, 10, 6, 8, 6, 6, 6, 6, 8, 6, 8], 'intermediate_size': [1024, 1024, 1024, 1024, 1024, 1024, 2048, 1024, 1024, 1024, 2048, 2048]}",54:04.6,2354873984,0.871559633
"{'num_layers': [10], 'num_attention_heads': [6, 10, 10, 12, 8, 12, 12, 6, 12, 10, 10, 8], 'intermediate_size': [3072, 1024, 3072, 2048, 1024, 3072, 2048, 1024, 1024, 1024, 2048, 3072]}",54:06.7,6298306176,0.923165138
"{'num_layers': [9], 'num_attention_heads': [6, 10, 10, 12, 8, 12, 12, 6, 12, 10, 10, 6], 'intermediate_size': [3072, 1024, 3072, 2048, 3072, 3072, 2048, 1024, 1024, 1024, 2048, 2048]}",54:08.7,6226806400,0.923165138
"{'num_layers': [9], 'num_attention_heads': [6, 10, 10, 12, 8, 12, 12, 6, 12, 10, 10, 6], 'intermediate_size': [3072, 1024, 1024, 2048, 1024, 3072, 2048, 1024, 1024, 1024, 2048, 3072]}",54:10.7,5421500032,0.913990826
"{'num_layers': [9], 'num_attention_heads': [6, 6, 10, 12, 8, 12, 12, 6, 12, 10, 10, 6], 'intermediate_size': [1024, 1024, 3072, 2048, 1024, 3072, 2048, 1024, 1024, 1024, 2048, 3072]}",54:12.7,5312448128,0.919724771
"{'num_layers': [8], 'num_attention_heads': [6, 6, 10, 12, 8, 6, 12, 6, 6, 6, 10, 8], 'intermediate_size': [1024, 1024, 1024, 2048, 1024, 1024, 1024, 1024, 2048, 1024, 2048, 2048]}",54:14.3,3613558400,0.893348624
"{'num_layers': [8], 'num_attention_heads': [6, 6, 10, 12, 8, 6, 8, 6, 6, 8, 6, 8], 'intermediate_size': [1024, 1024, 1024, 1024, 1024, 3072, 1024, 1024, 2048, 2048, 2048, 2048]}",54:15.8,3705833088,0.894495413
"{'num_layers': [7], 'num_attention_heads': [6, 6, 10, 12, 8, 6, 8, 6, 12, 8, 10, 6], 'intermediate_size': [1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 2048, 2048]}",54:17.2,2938078848,0.883027523
"{'num_layers': [7], 'num_attention_heads': [6, 6, 10, 8, 8, 6, 12, 6, 6, 8, 10, 6], 'intermediate_size': [1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 2048]}",54:18.6,2938078848,0.883027523
"{'num_layers': [9], 'num_attention_heads': [6, 10, 10, 12, 8, 12, 12, 6, 12, 10, 10, 8], 'intermediate_size': [1024, 1024, 1024, 2048, 1024, 3072, 1024, 1024, 1024, 1024, 2048, 2048]}",54:20.4,4817520256,0.912844037
"{'num_layers': [7], 'num_attention_heads': [6, 6, 10, 8, 8, 6, 8, 6, 6, 8, 6, 6], 'intermediate_size': [1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 2048]}",54:21.8,2829026944,0.880733945
"{'num_layers': [9], 'num_attention_heads': [6, 6, 10, 12, 8, 12, 8, 6, 12, 8, 10, 6], 'intermediate_size': [1024, 1024, 1024, 2048, 1024, 3072, 2048, 1024, 1024, 1024, 2048, 3072]}",54:23.6,4800743040,0.918577982
"{'num_layers': [7], 'num_attention_heads': [6, 6, 10, 12, 8, 6, 12, 6, 12, 8, 10, 6], 'intermediate_size': [1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 2048, 2048]}",54:25.0,3047130752,0.884174312
"{'num_layers': [10], 'num_attention_heads': [6, 10, 10, 12, 8, 12, 12, 6, 12, 10, 10, 8], 'intermediate_size': [3072, 3072, 3072, 2048, 3072, 3072, 2048, 1024, 1024, 1024, 2048, 3072]}",54:27.3,7103612544,0.923165138
"{'num_layers': [7], 'num_attention_heads': [6, 6, 10, 8, 8, 6, 6, 6, 12, 8, 6, 6], 'intermediate_size': [1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 2048]}",54:28.6,2774500992,0.878440367
"{'num_layers': [10], 'num_attention_heads': [6, 10, 10, 12, 8, 12, 12, 6, 12, 10, 10, 8], 'intermediate_size': [3072, 1024, 3072, 2048, 3072, 3072, 2048, 1024, 2048, 1024, 2048, 3072]}",54:30.9,6902285952,0.918577982
"{'num_layers': [9], 'num_attention_heads': [6, 6, 10, 12, 8, 12, 12, 6, 12, 10, 10, 8], 'intermediate_size': [3072, 1024, 3072, 2048, 1024, 3072, 2048, 1024, 1024, 2048, 2048, 3072]}",54:32.9,5715101312,0.924311927
"{'num_layers': [9], 'num_attention_heads': [6, 6, 10, 12, 8, 6, 8, 6, 12, 10, 6, 8], 'intermediate_size': [1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 2048]}",54:34.5,3831858816,0.899082569
"{'num_layers': [9], 'num_attention_heads': [6, 10, 10, 12, 8, 12, 12, 6, 12, 10, 10, 6], 'intermediate_size': [1024, 1024, 1024, 2048, 1024, 3072, 2048, 1024, 1024, 2048, 2048, 3072]}",54:36.4,5018846848,0.917431193
"{'num_layers': [9], 'num_attention_heads': [6, 6, 10, 12, 8, 6, 6, 6, 12, 10, 6, 6], 'intermediate_size': [1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 2048]}",54:38.0,3777332864,0.89793578
"{'num_layers': [8], 'num_attention_heads': [6, 6, 10, 6, 8, 6, 6, 6, 6, 8, 6, 6], 'intermediate_size': [1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 1024, 2048, 2048]}",54:39.5,3085076096,0.889908257
"{'num_layers': [9], 'num_attention_heads': [6, 10, 10, 12, 8, 12, 12, 6, 12, 10, 10, 8], 'intermediate_size': [3072, 1024, 3072, 2048, 1024, 3072, 2048, 1024, 1024, 2048, 2048, 2048]}",54:41.5,5824153216,0.92087156
"{'num_layers': [9], 'num_attention_heads': [6, 6, 10, 12, 8, 6, 12, 6, 12, 10, 10, 8], 'intermediate_size': [1024, 1024, 1024, 2048, 1024, 3072, 1024, 1024, 1024, 1024, 2048, 3072]}",54:43.3,4544890496,0.908256881
"{'num_layers': [9], 'num_attention_heads': [6, 6, 10, 12, 8, 6, 12, 6, 12, 10, 10, 6], 'intermediate_size': [1024, 1024, 1024, 2048, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 3072]}",54:45.1,4142237312,0.907110092
"{'num_layers': [9], 'num_attention_heads': [6, 10, 10, 12, 8, 12, 12, 6, 12, 10, 10, 8], 'intermediate_size': [3072, 1024, 3072, 2048, 1024, 3072, 2048, 1024, 2048, 1024, 2048, 3072]}",54:47.1,6025479808,0.923165138
"{'num_layers': [10], 'num_attention_heads': [6, 10, 10, 12, 8, 12, 12, 6, 12, 10, 10, 6], 'intermediate_size': [3072, 1024, 3072, 2048, 3072, 3072, 2048, 1024, 1024, 1024, 2048, 3072]}",54:49.3,6700959360,0.92087156
"{'num_layers': [10], 'num_attention_heads': [6, 10, 10, 12, 8, 12, 12, 6, 12, 10, 10, 8], 'intermediate_size': [3072, 1024, 3072, 2048, 1024, 3072, 2048, 1024, 2048, 1024, 2048, 3072]}",54:51.7,6499632768,0.923165138
"{'num_layers': [9], 'num_attention_heads': [6, 6, 10, 12, 8, 12, 12, 6, 12, 10, 10, 8], 'intermediate_size': [1024, 1024, 1024, 1024, 1024, 3072, 1024, 1024, 1024, 2048, 2048, 3072]}",54:53.5,4507141760,0.903669725
"{'num_layers': [6], 'num_attention_heads': [6, 10, 10, 12, 8, 6, 8, 6, 6, 10, 10, 6], 'intermediate_size': [1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 2048]}",54:54.7,2627503744,0.875
"{'num_layers': [6], 'num_attention_heads': [6, 6, 10, 8, 8, 6, 6, 6, 6, 8, 6, 6], 'intermediate_size': [1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 2048]}",54:55.9,2409399936,0.870412844
"{'num_layers': [9], 'num_attention_heads': [6, 6, 10, 12, 8, 12, 12, 6, 12, 10, 10, 8], 'intermediate_size': [1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 3072]}",54:57.6,4104488576,0.89793578
"{'num_layers': [9], 'num_attention_heads': [6, 6, 10, 12, 8, 12, 12, 6, 12, 10, 10, 8], 'intermediate_size': [1024, 1024, 1024, 2048, 1024, 3072, 1024, 1024, 1024, 1024, 2048, 2048]}",54:59.4,4708468352,0.912844037
"{'num_layers': [9], 'num_attention_heads': [6, 6, 10, 12, 8, 12, 12, 6, 12, 10, 10, 6], 'intermediate_size': [1024, 1024, 1024, 2048, 1024, 3072, 2048, 1024, 1024, 1024, 2048, 2048]}",55:01.4,4909794944,0.916284404
"{'num_layers': [6], 'num_attention_heads': [6, 6, 10, 12, 8, 6, 6, 6, 6, 6, 6, 8], 'intermediate_size': [1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 1024, 2048, 2048]}",55:02.6,2518451840,0.880733945
"{'num_layers': [8], 'num_attention_heads': [6, 6, 10, 6, 8, 6, 6, 6, 6, 8, 6, 6], 'intermediate_size': [1024, 1024, 1024, 2048, 1024, 1024, 1024, 1024, 2048, 1024, 2048, 2048]}",55:04.1,3286402688,0.893348624
"{'num_layers': [8], 'num_attention_heads': [6, 6, 10, 12, 8, 6, 8, 6, 12, 8, 6, 8], 'intermediate_size': [1024, 1024, 1024, 2048, 1024, 1024, 1024, 1024, 2048, 1024, 2048, 2048]}",55:05.6,3504506496,0.894495413
"{'num_layers': [8], 'num_attention_heads': [6, 6, 10, 8, 8, 6, 6, 6, 6, 8, 6, 8], 'intermediate_size': [1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 2048]}",55:07.1,3139602048,0.891055046
"{'num_layers': [8], 'num_attention_heads': [6, 6, 10, 12, 8, 6, 12, 6, 6, 8, 6, 8], 'intermediate_size': [1024, 1024, 1024, 2048, 1024, 3072, 1024, 1024, 1024, 1024, 2048, 2048]}",55:08.7,4016211584,0.900229358
"{'num_layers': [8], 'num_attention_heads': [6, 6, 10, 12, 8, 6, 8, 6, 12, 10, 10, 8], 'intermediate_size': [1024, 1024, 1024, 2048, 1024, 3072, 1024, 1024, 1024, 1024, 2048, 3072]}",55:10.3,3907159680,0.895642202
"{'num_layers': [8], 'num_attention_heads': [6, 6, 10, 12, 8, 6, 12, 6, 6, 8, 10, 8], 'intermediate_size': [1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 2048]}",55:11.8,3412231808,0.891055046
"{'num_layers': [8], 'num_attention_heads': [6, 6, 10, 12, 8, 6, 12, 6, 12, 8, 10, 8], 'intermediate_size': [1024, 1024, 1024, 1024, 1024, 3072, 1024, 1024, 2048, 2048, 2048, 2048]}",55:13.5,3814884992,0.895642202
"{'num_layers': [9], 'num_attention_heads': [6, 6, 10, 12, 8, 6, 8, 6, 12, 8, 10, 6], 'intermediate_size': [1024, 1024, 1024, 2048, 1024, 1024, 1024, 1024, 1024, 2048, 2048, 2048]}",55:15.2,4033185408,0.905963303
"{'num_layers': [9], 'num_attention_heads': [6, 10, 10, 12, 8, 12, 8, 6, 12, 10, 10, 6], 'intermediate_size': [1024, 1024, 1024, 2048, 1024, 1024, 2048, 1024, 1024, 1024, 2048, 2048]}",55:17.0,4507141760,0.908256881
"{'num_layers': [9], 'num_attention_heads': [6, 6, 10, 12, 8, 6, 8, 6, 12, 8, 10, 8], 'intermediate_size': [1024, 1024, 1024, 2048, 1024, 3072, 1024, 1024, 1024, 2048, 2048, 2048]}",55:18.7,4435838592,0.905963303
"{'num_layers': [9], 'num_attention_heads': [6, 6, 10, 12, 8, 6, 12, 6, 12, 10, 10, 6], 'intermediate_size': [1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 2048, 2048]}",55:20.4,3940910720,0.895642202
"{'num_layers': [8], 'num_attention_heads': [6, 6, 10, 12, 8, 6, 8, 6, 6, 8, 6, 6], 'intermediate_size': [1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 1024, 2048, 2048]}",55:21.9,3303179904,0.889908257
"{'num_layers': [6], 'num_attention_heads': [6, 10, 10, 8, 8, 6, 8, 6, 6, 8, 10, 6], 'intermediate_size': [1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 2048]}",55:23.1,2518451840,0.868119266
"{'num_layers': [8], 'num_attention_heads': [6, 6, 10, 8, 8, 6, 8, 6, 12, 8, 6, 6], 'intermediate_size': [1024, 1024, 1024, 2048, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 3072]}",55:24.6,3395454592,0.894495413
"{'num_layers': [6], 'num_attention_heads': [6, 6, 10, 8, 8, 6, 6, 6, 6, 8, 6, 6], 'intermediate_size': [1024, 1024, 1024, 2048, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 2048]}",55:25.9,2610726528,0.876146789
"{'num_layers': [6], 'num_attention_heads': [6, 6, 6, 6, 8, 6, 6, 6, 8, 6, 6, 6], 'intermediate_size': [1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 2048, 1024, 1024]}",55:53.0,2245822080,0.86353211
"{'num_layers': [11], 'num_attention_heads': [6, 12, 6, 10, 8, 12, 12, 6, 12, 10, 12, 10], 'intermediate_size': [3072, 3072, 3072, 2048, 2048, 3072, 2048, 1024, 2048, 1024, 2048, 2048]}",55:55.5,7724566144,0.924311927
"{'num_layers': [11], 'num_attention_heads': [6, 12, 6, 10, 8, 12, 12, 6, 12, 6, 12, 6], 'intermediate_size': [3072, 3072, 2048, 2048, 2048, 3072, 2048, 1024, 1024, 1024, 2048, 2048]}",55:57.9,7212861056,0.923165138
"{'num_layers': [9], 'num_attention_heads': [6, 12, 6, 10, 8, 12, 12, 6, 12, 10, 12, 8], 'intermediate_size': [3072, 3072, 3072, 2048, 2048, 3072, 2048, 1024, 2048, 2048, 3072, 2048]}",55:59.9,6520407680,0.923165138
